company,name,technology,type,chp,fuel,secondary_fuel,capacity_mw,grid_connection,country,Region,Postcode,OS Reference,X-Coordinate,Y-Coordinate,Year Commissioned,DESNZ site code,lat,lon
Uniper UK,Killingholme,Fossil Fuel,Single cycle,No,Natural Gas,,600.0,HV,England,Yorkshire and the Humber,DN403LU,,516717.0,419816.0,1992.0,GAS-000136,53.661811390438054,-0.23513805351309464
Uniper UK,Connahs Quay,Fossil Fuel,CCGT,No,Sour Gas,,1380.0,HV,Wales,Wales,CH54BP,,328878.0,368331.0,1996.0,GAS-000162,53.20726783382177,-3.066326179226394
Uniper UK,Cottam Development Centre,Fossil Fuel,CCGT,No,Natural Gas,,445.0,HV,England,East Midlands,DN220TF,,470307.0,378332.0,1999.0,GAS-000179,53.29728843171265,-0.9465824547840991
Uniper UK,Enfield,Fossil Fuel,CCGT,No,Natural Gas,,408.0,HV,England,London,EN37PL,,532446.0,190691.0,1999.0,GAS-000186,51.59949694484917,-0.08911098255899808
Uniper UK,Grain,Fossil Fuel,CCGT,Yes,Natural Gas,,1517.0,HV,England,South East,ME30AR,,588672.0,172826.0,2011.0,GAS-000404,51.423035746357485,0.7123052267630693
Uniper UK,Ratcliffe (OCGT),Fossil Fuel,Single cycle,No,Diesel/Gas Oil,,34.0,HV,England,East Midlands,NG110EE,,449969.0,327738.0,1967.0,OIL-000104,52.84483836255014,-1.259536741552712
Uniper UK,Taylors Lane,Fossil Fuel,Single cycle,No,Diesel/Gas Oil,,144.0,HV,England,London,NW108JP,,524680.0,195111.0,1979.0,OIL-000119,51.64098976018301,-0.1996053756957863
Uniper UK,Grain (OCGT),Fossil Fuel,Single cycle,No,Diesel/Gas Oil,,50.0,HV,England,South East,ME30AR,,0.0,0.0,2011.0,OIL-000452,49.766807235142615,-7.55715980690519
Vattenfall,Kentish Flats,Wind,Offshore,No,Wind,,90.0,LV,England,South East,,TR1501578055,615015.0,178055.0,2005.0,WOF-000268,51.46061230268742,1.0938168397639185
Vattenfall,Thanet ,Wind,Offshore,No,Wind,,300.0,HV,England,South East,,TR5265876367,652658.0,176367.0,2010.0,WOF-000380,51.42993205828252,1.6334113898517628
