name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,country,country_long,owner,commissioning_year,source,url,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,estimated_generation_gwh_2013,estimated_generation_gwh_2014,estimated_generation_gwh_2015,estimated_generation_gwh_2016,estimated_generation_gwh_2017,generation_gwh_latest
Drone Hill,GBR0004023,28.6,55.8979,-2.2619,wind,,,,GBR,United Kingdom,Greencoat UK Wind,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,72.09,
Droop Hill Wind Farm x,GBR0003398,4.6,56.9229,-2.4007,wind,,,,GBR,United Kingdom,Macphie Of Glenbervie Ltd,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,11.59,
Drumderg,GBR0004009,36.8,56.6222,-3.232,wind,,,,GBR,United Kingdom,Scottish and Southern Energy (SSE),,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,92.77,
Drumduff,GBR0004218,8.5,55.9043,-3.779,wind,,,,GBR,United Kingdom,Green Breeze Energy Ltd,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,21.42,
Drumjohn,GBR1000457,2.0,54.941,-3.9278,hydro,,,,GBR,United Kingdom,Scottish Power: Hydro schemes - Galloway,,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,,,,,,,,9.2,7.54,10.97,8.16,8.14,
Drummond Moor Landfill,GBR0000799,2.0,55.8822,-3.0774,waste,,,,GBR,United Kingdom,Waste Recycling Group,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,1.93,
Dryholme Farm (Farm AD),GBR0000267,1.0,54.8563,-3.3586,biomass,,,,GBR,United Kingdom,Kirk Environmental,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,,
Dudgeon East,GBR2001037,402.0,53.1175,0.6135,wind,,,,GBR,United Kingdom,Statoil / Statkraft,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,1013.42,
Dudley EfW,GBR0000813,7.4,52.4998,-2.0854,waste,,,,GBR,United Kingdom,MES Environmental (CNIM Group),,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,7.16,
Dummuie,GBR0003200,12.3,57.4511,-2.6915,wind,,,,GBR,United Kingdom,Tetro Energy Ltd (ECO2),,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,31.0,
